route,seq,name_en,name_tc,name_sc,location_en,location_tc,location_sc,lat,lng,path
3D,7,HAMMER HILL ROAD SPORTS GROUND,斧山道運動場,斧山道运动场,HAMMER HILL RDNEAR EAST KOWLOON POLYCLINIC,斧山道近東九龍分科診所,斧山道近东九龙分科诊所,22.339659029,114.207353083,"[[""22.339659029"",""114.207353083""],[""22.339681133"",""114.207317805""],[""22.339664306"",""114.207301084""],[""22.339376671"",""114.207015284""],[""22.339348586"",""114.206985248""],[""22.339323241"",""114.206949064""],[""22.339320591"",""114.206945281""],[""22.339288626"",""114.206892261""],[""22.339229663"",""114.206780295""],[""22.339190655"",""114.206716222""],[""22.339159225"",""114.206687402""],[""22.339119965"",""114.206660039""],[""22.339079656"",""114.206643245""],[""22.3390326"",""114.206627218""],[""22.338984643"",""114.206595256""],[""22.338943885"",""114.206556531""],[""22.338908193"",""114.206510132""],[""22.338857034"",""114.20642923""],[""22.338814721"",""114.206374162""],[""22.338572104"",""114.206113025""],[""22.33826098"",""114.205699926""],[""22.338142007"",""114.205571436""],[""22.338063483"",""114.205454841""],[""22.337987342"",""114.205347765""],[""22.337920717"",""114.205231172""],[""22.337832676"",""114.205078886""],[""22.337744636"",""114.204907565""],[""22.337654217"",""114.204671998""],[""22.337589971"",""114.204472125""],[""22.337520967"",""114.204229419""],[""22.337485275"",""114.204077134""],[""22.337454342"",""114.203922468""],[""22.337425788"",""114.203774942""],[""22.337397234"",""114.203646451""],[""22.337344886"",""114.203589344""],[""22.337266365"",""114.203548893""],[""22.33719736"",""114.203536995""],[""22.337128356"",""114.203544134""],[""22.337068869"",""114.203584586""],[""22.337023659"",""114.203641692""],[""22.336968932"",""114.203729733""],[""22.336947517"",""114.203817773""],[""22.336942757"",""114.203898674""],[""22.336957035"",""114.203979575""],[""22.336961794"",""114.204050959""],[""22.336964172"",""114.204098548""],[""22.336952276"",""114.204146137""],[""22.336918963"",""114.204203245""],[""22.336863649"",""114.20425624""],[""22.336812702"",""114.204277211""],[""22.336755614"",""114.204284246""],[""22.336713702"",""114.204281195""],[""22.336684619"",""114.204276224""],[""22.336646683"",""114.204262203""],[""22.336600116"",""114.204265112""],[""22.336545697"",""114.204276197""],[""22.336448681"",""114.204309252""],[""22.336367326"",""114.204351863""],[""22.336058973"",""114.204513366""],[""22.335526637"",""114.204792187""]]"
12A,1,FU CHEONG ESTATE,富昌,富昌,SHAM MONG RDO/S FU CHEONG ESTATE,深旺道富昌對出,深旺道富昌对出,22.327330264,114.154676165,"[[""22.327330264"",""114.154676165""],[""22.327279362"",""114.154610572""],[""22.327155053"",""114.154707482""],[""22.327027075"",""114.154824411""],[""22.3268991"",""114.154956474""],[""22.326724073"",""114.155146435""],[""22.326480479"",""114.15546063""],[""22.326262758"",""114.155756873""],[""22.326237026"",""114.155788462""],[""22.326222306"",""114.155819929""],[""22.326218737"",""114.155854431""],[""22.326219927"",""114.155881796""],[""22.326225876"",""114.155909159""],[""22.326238963"",""114.155937712""],[""22.326256809"",""114.155963886""],[""22.326284173"",""114.155986491""],[""22.326794063"",""114.15644242""],[""22.326961129"",""114.156595633""],[""22.327096758"",""114.156728883""],[""22.327293531"",""114.156912852""]]"
12A,999,WHAMPOA GARDEN B/T,黃埔花園總站,黄埔花园总站,WHAMPOA GARDEN B/T,黃埔花園巴士總站,黄埔花园巴士总站,22.30489918,114.190689982,"[[""22.30489918"",""114.190689982""]]"
3D,999,TSZ WAN SHAN (CENTRAL) B/T,慈雲山(中)總站,慈云山(中)总站,TSZ WAN SHAN (CENTRAL) B/T,慈雲山（中）巴士總站,慈云山（中）巴士总站,22.348489833,114.200357978,"[[""22.348489833"",""114.200357978""]]"
3C,5,PO KONG VILLAGE ROAD PARK,蒲崗村道公園,蒲岗村道公园,PO KONG VILLAGE RDO/S PO KONG VILLAGE ROAD PARK,蒲崗村道蒲崗村道公園外,蒲岗村道蒲岗村道公园外,22.346298457,114.202561894,"[[""22.346298457"",""114.202561894""],[""22.346285553"",""114.20257705""],[""22.346148857"",""114.201601276""],[""22.346064452"",""114.201043733""],[""22.346053167"",""114.200981227""]]"
12A,5,SHEK KIP MEI STREET,石硤尾街,石硖尾街,LAI CHI KOK ROADO/S HSE NO. 242,荔枝角道門牌242號,荔枝角道门牌242号,22.327142071,114.162549989,"[[""22.327142071"",""114.162549989""],[""22.327103099"",""114.16252051""],[""22.326975021"",""114.162689449""],[""22.326688681"",""114.163064198""],[""22.326396007"",""114.163430635""],[""22.326363884"",""114.163484174""],[""22.326343659"",""114.163538901""],[""22.326335332"",""114.163598387""],[""22.32634057"",""114.163728625""]]"
3D,4,PO LEUNG KUK NO.1 W. H. CHEUNG COLLEGE,保良局第一張永慶中學,保良局第一张永庆中学,PO KONG VILLAGE RDO/S PO LEUNG KUK NO.1W. H. CHEUNG COLLEGE,蒲崗村道保良局第一張永慶中學,蒲岗村道保良局第一张永庆中学,22.34628218,114.205389903,"[[""22.34628218"",""114.205389903""],[""22.346222808"",""114.205536363""],[""22.346149043"",""114.205604178""],[""22.345970478"",""114.205869108""],[""22.345832244"",""114.206033473""],[""22.345721707"",""114.206159825""],[""22.345542979"",""114.206339678""],[""22.345057308"",""114.206813231""],[""22.345044443"",""114.206825566""]]"
3D,10,KOWLOON BAY STATION,九龍灣站,九龙湾站,KWUN TONG ROADOPP. TO KOWLOON BAY STATION,觀塘道九龍灣站對面,观塘道九龙湾站对面,22.325546719,114.214339222,"[[""22.325546719"",""114.214339222""],[""22.32554276"",""114.214280262""],[""22.325338126"",""114.214268365""],[""22.325227482"",""114.214233862""],[""22.324692103"",""114.214280262""],[""22.324134119"",""114.214345697""],[""22.323814484"",""114.214375798""],[""22.32304987"",""114.214450277""],[""22.321965711"",""114.214562072""],[""22.321752683"",""114.214586425""]]"
3D,5,KOWLOON BAY STATION,九龍灣站,九龙湾站,KWUN TONG ROADO/S KOWLOON BAY STATION,觀塘道九龍灣站外,观塘道九龙湾站外,22.324946824,114.214015112,"[[""22.324946824"",""114.214015112""],[""22.324941967"",""114.214080234""],[""22.325592397"",""114.214004634""],[""22.325927488"",""114.213929327""],[""22.326512413"",""114.213665399""],[""22.327238443"",""114.213327357""],[""22.327592539"",""114.213114718""],[""22.327928043"",""114.212893427""],[""22.328194544"",""114.212649532""],[""22.328344449"",""114.212504385""],[""22.328575258"",""114.21222004""]]"
12A,7,POPLAR STREET,白楊街,白杨街,BOUNDARY STO/S HSE NO. 27,界限街門牌27號,界限街门牌27号,22.326541847,114.166666804,"[[""22.326541847"",""114.166666804""],[""22.32646177"",""114.166671212""],[""22.326480986"",""114.16703742""],[""22.326519739"",""114.167669645""],[""22.326552948"",""114.168131465""],[""22.326595883"",""114.16857622""],[""22.326643471"",""114.16919012""],[""22.326689657"",""114.170094778""]]"
